This document is best viewed on desktops and laptops. Copyright Michael Simmons 2017-2019. All Right Reserved.																												
Master one mental model per month starting with the most useful and universals models at http://www.mentalmodelclub.com									Jeff Bezos	Dave McClure	Andy Rachleff	Balaji S. Srinivasan	Paul Graham	Frank Robinson	Ray Dalio	 Robert Metcalfe	Thucydides	Adam Smith	Clayton Christenson	James Clear	Shane Parrish	Gabriel Weinberg	Scott Page	Charlie Munger	Daniel Dennett 	Jack Barker	Hiten Shah	Brandon Chu
	19 - 4 - Variation or Six Sigma	"by having multiple models, we can then adjudicate which models can work in which setting by looking at the assumptions of those models. If we just have opposite proverbs, we're stuck with two contradictory statements. So one of the huge advantages of becoming a many model thinker is that you can then look at the assumptions of the model, What's the assumptions in Fischer's fundamental theorem is that, that landscape that you're not at a peak. Cuz, you?re not at a peak you want to move towards it. In the Sixth Sigma setting, they presumption is that you?re at the peak and therefore you want to reduce variation. So this is, I think a really nice example, Fishers Fundamental Theorem, and the contrast with Sixth Sigma of seeing how thinking with models helps us make sense of the world." - Transcript from Scott Page Coursera	Scott Page Model Thinking MOOC Course					1															1					
Prediction	20 - 1 - Prediction	"These many models are actually better than individual models, even if the many models are all equally good on their own. So, you get the wisdom of crowd's effect being the fact that the diversity of models is really powerful. That's why they call this the Diversity Prediction Theorem because diversity ends up being really valuable in crowds of people getting things right. Alright, so that's an outline of what we're gonna do. We're gonna talk about prediction at individual level and at the collective level and we'll show how having many models results in something what you call [inaudible] prediction theorem and then diverse sets of models need to more accurate collective forecast and then explains what some people call a wisdom of crowds phenomena." - Transcript from Scott Page Coursera	Scott Page Model Thinking MOOC Course					1															1					
	20 - 2 - Linear Models	"Linear models describe a continuous response variable as a function of one or more predictor variables. They can help you understand and predict the behavior of complex systems or analyze experimental, financial, and biological data. Linear regression is a statistical method used to create a linear model." - MathWorks	Scott Page Model Thinking MOOC Course					1															1					
	20 - 3 - Diversity Prediction Theorem	"Diversity prediction theorem is a draft programming task. ... Scott E. Page introduced the diversity prediction theorem: "The squared error of the collective prediction equals the average squared error minus the predictive diversity". Therefore, when the diversity in a group is large, the error of the crowd is small."- Rosetta Code	Scott Page Model Thinking MOOC Course					1															1					
	20 - 4 - The Many Model Thinker	"By constructing these models they're this crutch for us, they help us clarify our thinking, we're better thinkers, we use data better, we can design and strategize better and we're just more intelligent citizens. I hope you've enjoyed taking this class. I've certainly had a lot of fun putting it together and I've learned a lot in the process and I apologize for any confusion and technological glitches and delays and things like that, but we've done the best we can do. I particularly want to thank Tom and Leia, two undergraduate. >> [inaudible] machine who have helped me throughout this whole process, They've just been absolutely fabulous, they've given me incredible support and they've helped a lot in all sorts of ways you can never imagine. " - Transcript from Scott Page Coursera	Scott Page Model Thinking MOOC Course					1															1					
Brainstorming	Lateral Thinking	“Solving problems through an indirect and creative approach, using reasoning that is not immediately obvious and involving ideas that may not be obtainable by using only traditional step-by-step logic.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Divergent Thinking vs Convergent Thinking	“Divergent thinking is a thought process or method used to generate creative ideas by exploring many possible solutions. It is often used in conjunction with its cognitive opposite, convergent thinking, which follows a particular set of logical steps to arrive at one solution, which in some cases is a ‘correct’ solution.” (related: groupthink; Maslow’s hammer — “if all you have is a hammer, everything looks like a nail.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Crowdsourcing	“The process of obtaining needed services, ideas, or content by soliciting contributions from a large group of people, especially an online community, rather than from employees or suppliers.” (related: wisdom of the crowd — “a large group’s aggregated answers to questions involving quantity estimation, general world knowledge, and spatial reasoning has generally been found to be as good as, and often better than, the answer given by any of the individuals within the group.”; collective intelligence; bandwagon effect — “a phenomenon whereby the rate of uptake of beliefs, ideas, fads and trends increases the more that they have already been adopted by others.”; Stone Soup)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Paradigm shift 	 “a fundamental change in the basic concepts and experimental practices of a scientific discipline.” (related: The Structure of Scientific Revolutions — “An episodic model in which periods of such conceptual continuity in normal science were interrupted by periods of revolutionary science; Planck’s principle — “the view that scientific change does not occur because individual scientists change their mind, but rather that successive generations of scientists have different views.”; punctuated equilibrium)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Interpreting	Major vs Minor Factors	Major factors explains major portions of the results, while minor factors only explain minor portions. (related: first order vs second order effects — first order effects directly follow from a cause, while second order effects follow from first order effects.)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	False Positives and False Negatives	 “A false positive error, or in short false positive, commonly called a ‘false alarm’, is a result that indicates a given condition has been fulfilled, when it actually has not been fulfilled…A false negative error, or in short false negative, is where a test result indicates that a condition failed, while it actually was successful, i.e. erroneously no effect has been assumed.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Confidence Interval	“Confidence intervals consist of a range of values (interval) that act as good estimates of the unknown population parameter; however, the interval computed from a particular sample does not necessarily include the true value of the parameter.” (related: error bar)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Bayes’ Theorem	“Describes the probability of an event, based on conditions that might be related to the event. For example, suppose one is interested in whether a person has cancer, and knows the person’s age. If cancer is related to age, then, using Bayes’ theorem, information about the person’s age can be used to more accurately assess the probability that they have cancer.” (related: base rate fallacy)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Inflection Point	“A point on a curve at which the curve changes from being concave (concave downward) to convex (concave upward), or vice versa.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Simpson’s Paradox	“A paradox in probability and statistics, in which a trend appears in different groups of data but disappears or reverses when these groups are combined.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Reasoning	Anecdotal	“Using a personal experience or an isolated example instead of a sound argument or compelling evidence.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	False Cause	“Presuming that a real or perceived relationship between things means that one is the cause of the other.” (related: correlation does not imply causation, or in xkcd form)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Straw Man	“Giving the impression of refuting an opponent’s argument, while actually refuting an argument that was not advanced by that opponent.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Plausible	Thinking that just because something is plausible means that it is true.	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Likely	Thinking that just because something is possible means that it is likely.	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Appeal to Emotion	“Manipulating an emotional response in place of a valid or compelling argument.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Ad Hominem	“Attacking your opponent’s character or personal traits in an attempt to undermine their argument.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Slippery Slope	 “Asserting that if we allow A to happen, then Z will eventually happen too, therefore A should not happen.” (related: broken windows theory — “maintaining and monitoring urban environments to prevent small crimes such as vandalism, public drinking, and toll-jumping helps to create an atmosphere of order and lawfulness, thereby preventing more serious crimes from happening.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Black or White	“When two alternative states are presented as the only possibilities, when in fact more possibilities exist.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Bandwagon	“Appealing to popularity or the fact that many people do something as an attempted form of validation.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Negotiating	The Third Story 	“The Third Story is one an impartial observer, such as a mediator, would tell; it’s a version of events both sides can agree on.” (related: Most Respectful Interpretation)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Active Listening	“Requires that the listener fully concentrates, understands, responds and then remembers what is being said.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Trade-offs	“A situation that involves losing one quality or aspect of something in return for gaining another quality or aspect.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Best Alternative to a Negotiated Agreement (BATNA)	“The most advantageous alternative course of action a party can take if negotiations fail and an agreement cannot be reached.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Zero-sum vs Non-zero-sum	“A zero-sum game is a mathematical representation of a situation in which each participant’s gain (or loss) of utility is exactly balanced by the losses (or gains) of the utility of the other participant(s)…In contrast, non-zero-sum describes a situation in which the interacting parties’ aggregate gains and losses can be less than or more than zero.” (related: win-win — “A win–win strategy is a conflict resolution process that aims to accommodate all disputants.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Alternative Dispute Resolution (ADR)	“Dispute resolution processes and techniques that act as a means for disagreeing parties to come to an agreement short of litigation.” (related: mediation; arbitration; “extend an olive branch.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Mitigating	Unintended Consequences 	“Outcomes that are not the ones foreseen and intended by a purposeful action.” (related: collateral damage — “Deaths, injuries, or other damage inflicted on an unintended target.”, Goodhart’s law — “When a measure becomes a target, it ceases to be a good measure”; Campbell’s law; Streisand Effect — “The phenomenon whereby an attempt to hide, remove, or censor a piece of information has the unintended consequence of publicizing the information more widely, usually facilitated by the Internet”; cobra effect — “when an attempted solution to a problem actually makes the problem worse.”; “Kick a hornet’s nest.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	 Preserving Optionality 	 “A strategy of keeping options open and fluid, fighting the urge to make choices too soon, before all of the uncertainties have been resolved.” (related: tyranny of small decisions — “a situation where a series of small, individually rational decisions can negatively change the context of subsequent choices, even to the point where desired alternatives are irreversibly destroyed.”; boiling frog — “an anecdote describing a frog slowly being boiled alive.”; path dependence; “Everybody has a plan until they get punched in the mouth.”; fog of war; OODA loop)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Precautionary Principle	“If an action or policy has a suspected risk of causing harm to the public, or to the environment, in the absence of scientific consensus (that the action or policy is not harmful), the burden of proof that it is not harmful falls on those taking an action that may or may not be a risk.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Short-termism	“Short-termism refers to an excessive focus on short-term results at the expense of long-term interests.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Managing	Weekly 1–1s	“1–1’s can add a whole new level of speed and agility to your company.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Forcing Function	 “A forcing function is any task, activity or event that forces you to take action and produce a result.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Directly Responsible Individual	A management concept, originally championed by Apple, that good things come if someone is explicitly responsible for something. (related: diffusion of responsibility — “a sociopsychological phenomenon whereby a person is less likely to take responsibility for action or inaction when others are present.”; bystander effect — “a social psychological phenomenon that refers to cases in which individuals do not offer any means of help to a victim when other people are present.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Pygmalion Effect (Rosenthal Effect)	“The phenomenon whereby higher expectations lead to an increase in performance.” (related: market pull technology policy — where the government sets future standards beyond what the current market can deliver, and the market pulls that technology into existence.; Radical Candor)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Virtual Team	“A group of individuals who work across time, space and organizational boundaries with links strengthened by webs of communication technology.” At least in some circumstances, it is possible to have a completely virtual team. The downsides in lack of face-to-face communication can be outweighed by the upsides in sourcing from the entire world.	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Introversion vs Extraversion	“Extraversion tends to be manifested in outgoing, talkative, energetic behavior, whereas introversion is manifested in more reserved and solitary behavior. Virtually all comprehensive models of personality include these concepts in various forms.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	IQ vs EQ	“IQ is a total score derived from one of several standardized tests designed to assess human intelligence.” “EQ is the capacity of individuals to recognize their own, and other people’s emotions, to discriminate between different feelings and label them appropriately, and to use emotional information to guide thinking and behavior.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Growth Mindset vs Fixed Mindset	 “Those with a ‘fixed mindset’ believe that abilities are mostly innate and interpret failure as the lack of necessary basic abilities, while those with a ‘growth mindset’ believe that they can acquire any given ability provided they invest effort or study.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Organizational Debt	 “All the people/culture compromises made to ‘just get it done’ in the early stages of a startup.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Generalist vs Specialist	 “A generalist is a person with a wide array of knowledge, the opposite of which is a specialist.” (related: hedgehog vs fox — “A fox knows many things, but a hedgehog one important thing.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Consequence vs Conviction	“Where there is low consequence and you have very low confidence in your own opinion, you should absolutely delegate. And delegate completely, let people make mistakes and learn. On the other side, obviously where the consequences are dramatic and you have extremely high conviction that you are right, you actually can’t let your junior colleague make a mistake.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	High-context vs Low-context Culture	“In a higher-context culture, many things are left unsaid, letting the culture explain. Words and word choice become very important in higher-context communication, since a few words can communicate a complex message very effectively to an in-group (but less effectively outside that group), while in a low-context culture, the communicator needs to be much more explicit and the value of a single word is less important.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Peter Principle	“The selection of a candidate for a position is based on the candidate’s performance in their current role, rather than on abilities relevant to the intended role. Thus, employees only stop being promoted once they can no longer perform effectively, and ‘managers rise to the level of their incompetence.’”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Maslow’s Hierarchy of Needs 	“Maslow used the terms ‘physiological’, ‘safety’, ‘belongingness’ and ‘love’, ‘esteem’, ‘self-actualization’, and ‘self-transcendence’ to describe the pattern that human motivations generally move through… [though there is] little evidence for the ranking of needs that Maslow described or for the existence of a definite hierarchy at all.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Loyalists vs Mercenaries 	“There are highly loyal teams that can withstand almost anything and remain steadfastly behind their leader. And there are teams that are entirely mercenary and will walk out without thinking twice about it.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Zero Tolerance	“Strict punishment for infractions of a stated rule, with the intention of eliminating undesirable conduct.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Commandos vs Infantry vs Police	“Three distinct groups of people that define the lifetime of a company: Commandos, Infantry, and Police: Whether invading countries or markets, the first wave of troops to see battle are the commandos…Grouping offshore as the commandos do their work is the second wave of soldiers, the infantry…But there is still a need for a military presence in the territory they leave behind, which they have liberated. These third-wave troops hate change. They aren’t troops at all but police.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Developing	Technical Debt 	 “A concept in programming that reflects the extra development work that arises when code that is easy to implement in the short run is used instead of applying the best overall solution.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Binary Search	“A search algorithm that finds the position of a target value within a sorted array. It compares the target value to the middle element of the array; if they are unequal, the half in which the target cannot lie is eliminated and the search continues on the remaining half until it is successful.” (related: debugging)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Divide and Conquer	“Recursively breaking down a problem into two or more sub-problems of the same or related type, until these become simple enough to be solved directly. The solutions to the sub-problems are then combined to give a solution to the original problem.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Design Pattern	“The re-usable form of a solution to a design problem.” (related: anti-pattern — “a common response to a recurring problem that is usually ineffective and risks being highly counterproductive.”, dark pattern — “user interfaces designed to trick people.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Black box	 “a device, system or object which can be viewed in terms of its inputs and outputs (or transfer characteristics), without any knowledge of its internal workings. Its implementation is ‘opaque’ (black).”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Zawinski’s Law	“Every program attempts to expand until it can read mail. Those programs which cannot so expand are replaced by ones which can.” (related: Greenspun’s tenth rule — “any sufficiently complicated C or Fortran program contains an ad hoc, informally-specified, bug-ridden, slow implementation of half of Common Lisp.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Metcalfe’s Law	“The value of a telecommunications network is proportional to the square of the number of connected users of the system…Within the context of social networks, many, including Metcalfe himself, have proposed modified models using (n × log n) proportionality rather than n^2 proportionality.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Clarke’s Third Law	“Any sufficiently advanced technology is indistinguishable from magic.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Influencing	Framing	“With the same information being used as a base, the ‘frame’ surrounding the issue can change the reader’s perception without having to alter the actual facts.” (related: anchoring)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Cialdini’s Six Principles of Influence	 Reciprocity (“People tend to return a favor.”), Commitment (“If people commit…they are more likely to honor that commitment.”), Social Proof (“People will do things they see other people are doing.”), Authority (“People will tend to obey authority figures.”), Liking (“People are easily persuaded by other people they like.”), and Scarcity (“Perceived scarcity will generate demand”). (related: foot-in-the-door technique)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Paradox of Choice	“Eliminating consumer choices can greatly reduce anxiety for shoppers.” (related: Hick’s Law, “increasing the number of choices will increase the decision time logarithmically.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Major vs Minor Chords	 “In Western music, a minor chord, in comparison, ‘sounds darker than a major chord.’”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Coda	“A term used in music primarily to designated a passage that brings a piece to an end.” (related: CTA.) People psychologically expect codas, and so they can be used for influence.	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Marketing	Bullseye Framework	“With nineteen traction channels to consider, figuring out which one to focus on is tough. That’s why we’ve created a simple framework called Bullseye that will help you find the channel that will get you traction.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Technology Adoption Lifecycle	“Describes the adoption or acceptance of a new product or innovation, according to the demographic and psychological characteristics of defined adopter groups. The process of adoption over time is typically illustrated as a classical normal distribution or “bell curve”. The model indicates that the first group of people to use a new product is called ‘innovators’, followed by ‘early adopters’. Next come the early majority and late majority, and the last group to eventually adopt a product are called ‘laggards’.” (related: S-curve, Crossing the Chasm, Installation Period vs Deployment Period)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Jobs To Be Done	 “Consumers usually don’t go about their shopping by conforming to particular segments. Rather, they take life as it comes. And when faced with a job that needs doing, they essentially ‘hire’ a product to do that job.” - Gabriel Weinberg  If you understand the job, how to improve the product becomes just obvious. — Clayton Christensen	Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d  ---  Clayton Christensen via 13 Mental Models Every Founder Should Know https://medium.com/the-mission/13-mental-models-every-founder-should-know-c4d44afdcdd					2											1			1						
	Fear, Uncertainty, and Doubt (FUD)	 “A disinformation strategy used in sales, marketing, public relations, politics and propaganda. FUD is generally a strategy to influence perception by disseminating negative and dubious or false information and a manifestation of the appeal to fear.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Strategizing	Sustainable Competitive Advantage	Structural factors that allow a firm to outcompete its rivals for many years.	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Core Competency	“A harmonized combination of multiple resources and skills that distinguish a firm in the marketplace.” (related: circle of competence — “you don’t have to be an expert on every company, or even many. You only have to be able to evaluate companies within your circle of competence. The size of that circle is not very important; knowing its boundaries, however, is vital.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Strategy vs Tactics	Sun Tzu: “Strategy without tactics is the slowest route to victory. Tactics without strategy is the noise before defeat.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Sphere of Influence	 “A spatial region or concept division over which a state or organization has a level of cultural, economic, military, or political exclusivity, accommodating to the interests of powers outside the borders of the state that controls it.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Unknown Unknowns	 “Known unknowns refers to ‘risks you are aware of, such as cancelled flights….’ Unknown unknowns are risks that ‘come from situations that are so out of this world that they never occur to you.’ (related: Cynefin framework)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Switching Costs	“The costs associated with switching suppliers.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Economies of Scale	“The cost advantages that enterprises obtain due to size, output, or scale of operation, with cost per unit of output generally decreasing with increasing scale as fixed costs are spread out over more units of output.” - Gabriel Weinberg  "In microeconomics, economies of scale are the cost advantages that enterprises obtain due to size, output, or scale of operation, with cost per unit of output generally decreasing with increasing scale as fixed costs are spread out over more units of output.  Economies of scale apply to a variety of organizational and business situations and at various levels, such as a business or manufacturing unit, plant or an entire enterprise. For example, economies of scale apply to the fixed cost to produce units of output through production and manufacturing. When average costs start falling then economies of scale are in production with fixed costs being a requirement for the equation. With no fixed costs, the average cost and average variable cost would be equal"- Wikipedia (James Clear)  Startups: "Economies of scale are simple economics where the costs of your product or service decreases as the volume increases. Facebook, Amazon, Apple and Google all have strong economies of scale." - Adam Smith	Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d --- James Clear Mental Models Overview https://jamesclear.com/mental-models"  ---  Adam Smith via ""13 Mental Models Every Founder Should Know"" https://cdn-images-1.medium.com/max/800/1*CKuoDZYd9TaeYmXiZ7J0NA.png					3										1		1		1						
History	Nuclear option	“a parliamentary procedure that allows the U.S. Senate to override a rule or precedent by a simple majority of 51 votes, instead of by a supermajority of 60 votes…The name is an analogy to nuclear weapons being the most extreme option in warfare.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Cargo cult	 “a millenarian movement first described in Melanesia which encompasses a range of practices and occurs in the wake of contact with more technologically advanced societies. The name derives from the belief which began among Melanesians in the late 19th and early 20th century that various ritualistic acts such as the building of an airplane runway will result in the appearance of material wealth, particularly highly desirable Western goods (i.e., “cargo”), via Western airplanes.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Sports	Unforced Error	 In tennis, an “error in a service or return shot that cannot be attributed to any factor other than poor judgement and execution by the player; contrasted with a forced error,” “an error caused by an opponent’s good play.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Hail Mary Pass	“A very long forward pass in American football, made in desperation with only a small chance of success… has become generalized to refer to any last-ditch effort with little chance of success.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Market Failure	Social vs Market Norms	“People are happy to do things occasionally when they are not paid for them. In fact there are some situations in which work output is negatively affected by payment of small amounts of money.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Information Asymmetry	“The study of decisions in transactions where one party has more or better information than the other.” (related: adverse selection — “when traders with better private information about the quality of a product will selectively participate in trades which benefit them the most.”; moral hazard — “when one person takes more risks because someone else bears the cost of those risks.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Externalities 	“An externality is the cost or benefit that affects a party who did not choose to incur that cost or benefit.” (related: tragedy of the commons — “A situation within a shared-resource system where individual users acting independently according to their own self-interest behave contrary to the common good of all users by depleting that resource through their collective action”; free rider problem — “when those who benefit from resources, goods, or services do not pay for them, which results in an under-provision of those goods or services.”; Coase theorem — “if trade in an externality is possible and there are sufficiently low transaction costs, bargaining will lead to a Pareto efficient outcome regardless of the initial allocation of property.”; NIMBY — “Not In My Back Yard”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Deadweight Loss	“A loss of economic efficiency that can occur when equilibrium for a good or service is not achieved or is not achievable.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Political Failure	Chilling Effect	“The inhibition or discouragement of the legitimate exercise of natural and legal rights by the threat of legal sanction…Outside of the legal context in common usage; any coercion or threat of coercion (or other unpleasantries) can have a chilling effect on a group of people regarding a specific behavior, and often can be statistically measured or be plainly observed.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Third Rail	“The third rail of a nation’s politics is a metaphor for any issue so controversial that it is ‘charged’ and ‘untouchable’ to the extent that any politician or public official who dares to broach the subject will invariably suffer politically.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Regulatory Capture	“When a regulatory agency, created to act in the public interest, instead advances the commercial or political concerns of special interest groups that dominate the industry or sector it is charged with regulating.” (related: Shirky principle — “Institutions will try to preserve the problem to which they are the solution.”; “Sunlight is the best disinfectant.”)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Duverger’s Law	“A principle which states that plurality-rule elections (such as first past the post) structured within single-member districts tend to favor a two-party system, and that ‘the double ballot majority system and proportional representation tend to favor multipartism.’”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Arrow’s Impossibility Theorem	“When voters have three or more distinct alternatives (options), no ranked order voting system can convert the ranked preferences of individuals into a community-wide (complete and transitive) ranking while also meeting a pre-specified set of criteria.” (related: approval voting)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Fear of Missing Out (FOMO) 	“A pervasive apprehension that others might be having rewarding experiences from which one is absent.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Investing	Preferred Stock vs Common Stock	“Preferred stock is a type of stock which may have any combination of features not possessed by common stock including properties of both an equity and a debt instrument, and is generally considered a hybrid instrument.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Investing vs Speculation	 “Typically, high-risk trades that are almost akin to gambling fall under the umbrella of speculation, whereas lower-risk investments based on fundamentals and analysis fall into the category of investing.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Inflation	“A sustained increase in the general price level of goods and services in an economy over a period of time.” (related: real vs nominal value, hyperinflation, deflation, debasement)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Gross Domestic Product (GDP)	“A monetary measure of the market value of all final goods and services produced in a period (quarterly or yearly).”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	 Efficient-Market Hypothesis	“Asset prices fully reflect all available information…Investors, including the likes of Warren Buffett, and researchers have disputed the efficient-market hypothesis both empirically and theoretically.” (related: alpha) - Gabriel Weinberg  "The efficient-market hypothesis (EMH) is a theory in financial economics that states that asset prices fully reflect all available information. A direct implication is that it is impossible to "beat the market" consistently on a risk-adjusted basis since market prices should only react to new information or changes in discount rates (the latter may be predictable or unpredictable)." - Wikipedia (James Clear)	Gabriel Weinberg's Mental Models I Find Repeatedly Useful https://medium.com/@yegg/mental-models-i-find-repeatedly-useful-936f1cc405d --- James Clear Mental Models Overview https://jamesclear.com/mental-models					2												1		1						
	Purchasing Power Parity	“Allows one to estimate what the exchange rate between two currencies would have to be in order for the exchange to be at par with the purchasing power of the two countries’ currencies.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Insider Trading	“The trading of a public company’s stock or other securities (such as bonds or stock options) by individuals with access to nonpublic information about the company.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	Poison Pill 	“A type of defensive tactic used by a corporation’s board of directors against a takeover. Typically, such a plan gives shareholders the right to buy more shares at a discount if one shareholder buys a certain percentage or more of the company’s shares.” (related: proxy fight).	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
Learning	Deliberate Practice	“How expert one becomes at a skill has more to do with how one practices than with merely performing a skill a large number of times.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
	 Imposter Syndrome	 “High-achieving individuals marked by an inability to internalize their accomplishments and a persistent fear of being exposed as a ‘fraud’.”	Gabriel Weinberg's Mental Models I Find Repeatedly Useful					1														1						
